Experiment,%sand,%Moisture(Target),ADC Raw Value
1,100,0,0
2,90,0,0
3,80,0,0
4,70,0,0
5,60,0,27
6,50,0,0
7,40,0,0
8,30,0,311
9,20,0,0
10,15,20,448
11,10,20,474
12,5,20,522
,,30,658
,,30,694
,,35,739
,,20,355
,,20,412
,,20,598
,,20,477
,,35,625
,,30,577
,,30,577
,,35,638
,,40,705
,,35,655
,,35,647
,,35,669
,,35,615
,,35,635
,,40,785
,,40,656
,,30,551
,,35,643
,,50,832
,,40,707
,,50,800
,,35,698
,,35,613
,,35,624
,,75,1995
,,80,2083
,,75,1837
,,75,1870
,,75,1857
,,5,1875
,,75,1949
,,75,1971
,,80,2094
,,80,2062
,,80,2037
,,80,2068
,,85,2450
,,80,2154
,,80,2228
,,80,2191
,,85,2218
,,85,2169
,,80,2147
,,85,2255
,,80,2006
,,85,2527
,,90,2559
,,50,903
,,95,2775
,,95,2678
,,95,2653
,,95,2603
,,95,2815
,,95,2704
,,95,2511
,,95,2754
,,95,2593
,,95,2597
,,95,2653
,,95,2511
,,95,2791
,,95,2822
,,95,2800
,,95,2835
,,95,2831
,,95,2849
,,95,2827
,,95,2891
,,95,2866
,,95,2879
,,95,2832
,,95,2850
,,95,2672
,,95,2656
